player_id,first_name,last_name,hand,birth_date,country_code
200001,Martina,Hingis,R,19800930.0,SUI
200002,Mirjana,Lucic,R,19820309.0,CRO
200003,Justine,Henin,R,19820601.0,BEL
200004,Kerry Anne,Guse,R,19721204.0,AUS
200005,Jolene,Watanabe Giltz,R,19680831.0,USA
200006,Karina,Habsudova,R,19730802.0,SVK
200007,Silvija,Talaja,R,19780114.0,CRO
200008,Alicia,Molik,R,19810127.0,AUS
200009,Tamarine,Tanasugarn,R,19770524.0,THA
200010,Rita,Grande,R,19750323.0,ITA
200011,Katarina,Srebotnik,R,19810312.0,SLO
200012,Jana,Nejedly,R,19740609.0,CAN
200013,Angelica,Gavaldon,R,19731003.0,MEX
200014,Tzipi,Obziler,R,19730419.0,ISR
200015,Petra,Mandula,R,19780117.0,HUN
200016,Sandrine,Testud,R,19720403.0,FRA
200017,Arantxa,Sanchez Vicario,R,19711218.0,ESP
200018,Julia,Abe,R,19760521.0,GER
200019,Alexandra,Fusai,R,19731122.0,FRA
200020,Lisa,Raymond,R,19730810.0,USA
200021,Alexia,Dechaume Balleret,R,19700503.0,FRA
200022,Emmanuelle,Gagliardi,R,19760709.0,SUI
200023,Bryanne,Stewart,R,19791209.0,AUS
200024,Maria,Vento Kabchi,R,19740524.0,VEN
200025,Ludmila,Cervanova,R,19791015.0,SVK
200026,Florencia,Labat,L,19710612.0,ARG
200027,Magui,Serna,L,19790301.0,ESP
200028,Maureen,Drake,R,19710321.0,CAN
200029,Lisa,Mcshea,R,19741029.0,AUS
200030,Miroslava,Vavrinec,R,19780401.0,SUI
200031,Meilen,Tu,R,19780117.0,USA
200032,Barbara,Schett,R,19760310.0,AUT
200033,Serena,Williams,R,19810926.0,USA
200034,Amanda,Grahame,L,19790325.0,AUS
200035,Maria,Sanchez Lorenzo,R,19771107.0,ESP
200036,Nicole,Pratt,R,19730305.0,AUS
200037,Sabine,Appelmans,L,19720422.0,BEL
200038,Annabel,Ellwood,R,19780202.0,AUS
200039,Chanda,Rubin,R,19760218.0,USA
200040,Anna,Smashnova,R,19760716.0,ISR
200041,Amy,Frazier,R,19720919.0,USA
200042,Els,Callens,R,19700820.0,BEL
200043,Virginie,Razzano,R,19830512.0,FRA
200044,Denisa,Chladkova,R,19790208.0,CZE
200045,Tara,Snyder,R,19770526.0,USA
200046,Meghann,Shaughnessy,R,19790413.0,USA
200047,Pavlina,Nola,R,19740714.0,NZL
200048,Elena,Likhovtseva,R,19750908.0,RUS
200049,Conchita,Martinez,R,19720416.0,ESP
200050,Sandra,Kleinova,R,19780508.0,CZE
200051,Irina,Spirlea,R,19740326.0,ROU
200052,Olga,Barabanschikova,R,19791102.0,BLR
200053,Lubomira,Bacheva,R,19750307.0,BUL
200054,Sylvia,Plischke,R,19770720.0,AUT
200055,Mariana,Diaz Oliva,R,19760311.0,ARG
200056,Jelena,Kostanic Tosic,L,19810706.0,CRO
200057,Erika,De Lone,R,19721014.0,USA
200058,Anna,Foldenyi Dicker,R,19740822.0,HUN
200059,Ruxandra,Dragomir Ilie,R,19721024.0,ROU
200060,Tathiana,Garbin,R,19770630.0,ITA
200061,Gala,Leon Garcia,L,19731223.0,ESP
200062,Kristina,Brandi,R,19770329.0,PUR
200063,Tatiana,Panova,R,19760813.0,RUS
200064,Amanda,Coetzer,R,19711022.0,RSA
200065,Amelie,Mauresmo,R,19790705.0,FRA
200066,Cristina,Torrens Valero,R,19740912.0,ESP
200067,Patty,Schnyder,L,19781214.0,SUI
200068,Lilia,Osterloh,R,19780407.0,USA
200069,Nadia,Petrova,R,19820608.0,RUS
200070,Anne Gaelle,Sidot,L,19790724.0,FRA
200071,Lenka,Nemeckova,R,19760420.0,CZE
200072,Cara,Black,R,19790217.0,ZIM
200073,Julie,Pullin,L,19751105.0,GBR
200074,Jane,Chi,R,19740621.0,USA
200075,Jing Qian,Yi,R,19740228.0,CHN
200076,Laurence,Courtois,R,19760118.0,BEL
200077,Jennifer,Capriati,R,19760329.0,USA
200078,Barbara,Schwartz,L,19790127.0,AUT
200079,Kim,Clijsters,R,19830608.0,BEL
200080,Dominique,Monami,R,19730531.0,BEL
200081,Anke,Huber,R,19741204.0,GER
200082,Kristie,Boogert,R,19731216.0,NED
200083,Alexandra,Stevenson,R,19801215.0,USA
200084,Asa,Svensson,R,19750616.0,SWE
200085,Ai,Sugiyama,R,19750705.0,JPN
200086,Magdalena,Maleeva,R,19750401.0,BUL
200087,Seda,Noorlander,R,19740522.0,NED
200088,Adriana,Gersi,R,19760626.0,CZE
200089,Miriam,Oremans,R,19720909.0,NED
200090,Anca,Barna,L,19770514.0,GER
200091,Janet,Lee,R,19761022.0,TPE
200092,Sandra,Nacuk,R,19800817.0,SCG
200093,Amelie,Cocheteux,L,19780327.0,FRA
200094,Barbara,Rittner,R,19730425.0,GER
200095,Linda,Wild,R,19710211.0,USA
200096,Mary,Pierce,R,19750115.0,FRA
200097,Nathalie,Tauziat,R,19671017.0,FRA
200098,Henrieta,Nagyova,R,19781215.0,SVK
200099,Sonya,Jeyaseelan,R,19760424.0,CAN
200100,Amanda,Hopmans,R,19760211.0,NED
200101,Jana,Kandarr,R,19760921.0,GER
200102,Melissa,Dowse,U,19820427.0,AUS
200103,Evie,Dominikovic,R,19800529.0,AUS
200104,Emilie,Loit,L,19790609.0,FRA
200105,Rachel,Mcquillan,U,19711202.0,AUS
200106,Angeles,Montolio,R,19750806.0,ESP
200107,Paola,Suarez,R,19760623.0,ARG
200108,Elena,Dementieva,R,19811015.0,RUS
200109,Nathalie,Dechy,R,19790221.0,FRA
200110,Fabiola,Zuluaga,R,19790107.0,COL
200111,Lina,Krasnoroutskaya,R,19840429.0,RUS
200112,Julie,Halard Decugis,R,19700910.0,FRA
200113,Anna,Kournikova,R,19810607.0,RUS
200114,Patricia,Wartusch,R,19780805.0,AUT
200115,Brie,Rippner,R,19800121.0,USA
200116,Natalia,Zvereva,R,19710416.0,BLR
200117,Kveta,Peschke,R,19750709.0,CZE
200118,Virginia,Ruano Pascual,R,19730921.0,ESP
200119,Rita,Kuti Kis,L,19780213.0,HUN
200120,Jelena,Dokic,R,19830412.0,AUS
200121,Alina,Jidkova,R,19770118.0,RUS
200122,Tina,Pisnik,R,19810219.0,SLO
200123,Marlene,Weingartner,R,19800130.0,GER
200124,Anne,Kremer,R,19751017.0,LUX
200125,Corina,Morariu,R,19780126.0,USA
200126,Marissa,Gould,R,19800623.0,USA
200127,Sarah,Pitkowski Malcor,R,19751113.0,FRA
200128,Lindsay,Davenport,R,19760608.0,USA
200129,Lesley,Bowrey,R,19420816.0,AUS
200131,Judith,Gohn,U,19450510.0,AUS
200134,Kerry,Ballard,U,19491216.0,AUS
200135,Lorraine,Robinson,U,19370923.0,AUS
200139,Lita,Sugiarto,U,19460227.0,INA
200141,Wendy,Gilchrist,L,19500517.0,AUS
200143,Kathleen,Harter,U,19461027.0,USA
200144,Margaret,Court,R,19420716.0,AUS
200145,Kerry,Harris,U,19490919.0,AUS
200146,Cynthia,Doerner,U,19510211.0,AUS
200150,Evonne,Cawley,R,19510731.0,AUS
